Date,Close,Open,High,Low,Volume,Change %,SMA,WMA,StochD,AD,PctDiffLow,FFT_Min,FFT_Max,Skewness,Kurtosis,SD
2016-01-04,6833.42,6954.27,6957.24,6833.42,51490.0,-1.71%,,,,,,,,,,
2016-01-05,6835.13,6823.92,6863.75,6785.72,86200.0,0.03%,,,,,,,,,,
2016-01-06,6813.9,6846.99,6870.56,6813.9,94120.0,-0.31%,,,0.0,,,,,,,
2016-01-07,6618.88,6823.37,6823.37,6618.88,136630.0,-2.86%,,,0.0,,,,,,,
2016-01-08,6575.43,6588.08,6651.0,6555.45,137450.0,-0.66%,,,0.0,,,,,,,
2016-01-11,6288.26,6523.28,6523.28,6288.26,193640.0,-4.37%,,,0.0,,,,,,,
2016-01-12,6330.55,6322.87,6433.75,6322.87,119010.0,0.67%,,,0.0,,,,,,,
2016-01-13,6494.13,6371.94,6506.91,6371.94,195310.0,2.58%,,,0.0,,,,,,,
2016-01-14,6408.76,6395.87,6433.7,6346.0,134470.0,-1.31%,,,0.0,,,,,,,
2016-01-15,6449.5,6462.07,6510.4,6449.5,109580.0,0.64%,,,0.0,,,,,,,
2016-01-18,6335.09,6327.7,6348.37,6276.1,183620.0,-1.77%,,,0.0,,,,,,,
2016-01-19,6357.05,6348.03,6376.25,6311.66,112460.0,0.35%,,,0.0,,,,,,,
2016-01-20,6259.61,6348.62,6374.5,6253.88,218440.0,-1.53%,,,0.0,,,,,,,
2016-01-21,6084.28,6212.41,6213.88,6084.28,234020.0,-2.80%,-0.06069505763917104,-0.04505928291291465,0.0,,0.0,,,,,
2016-01-22,6208.05,6116.32,6208.05,6116.15,291970.0,2.03%,-0.03493191434645566,-0.020109422337780507,5.247070594020804,,0.020342587783599774,,,,,
2016-01-25,6434.08,6299.6,6434.08,6287.25,209650.0,3.64%,0.004679471013992534,0.015539346124778008,20.076393481541785,,0.05749242309689893,,,,,
2016-01-26,6311.6,6317.24,6362.67,6258.88,158160.0,-1.90%,-0.008893136659223855,-0.0018492774003758409,30.32864061427711,,0.0373618571137424,,,,,
2016-01-27,6507.22,6344.06,6507.22,6344.06,215470.0,3.10%,0.023106318353444986,0.026080024462839402,49.958052233695064,,0.06951356610806875,,,,,
2016-01-28,6563.38,6495.57,6564.66,6447.61,250420.0,0.86%,0.032075816710388824,0.0305345908592179,68.37324410532311,,0.07874391053666176,,,,,
2016-01-29,6687.62,6590.07,6687.62,6589.29,247450.0,1.89%,0.04691621197679735,0.04287588593571129,91.45433030592112,0.12231106811422732,0.09916374657313605,,,,,
2016-02-01,6701.36,6705.52,6736.87,6650.97,185650.0,0.21%,0.044735329709127046,0.03825219016424178,98.09738307360884,0.14144745602159015,0.10142202528483238,116.36000000000058,129395.94,-0.09140480655875761,-0.6419152297741091,0.021200181750816977
2016-02-02,6642.45,6619.68,6653.12,6619.68,141970.0,-0.88%,0.03384378329973133,0.024299939867337837,93.36336750486521,0.1471948925055036,0.09173969639793042,191.1359310725743,129263.88,-0.027955215462295773,-0.6785268768429287,0.02127374102793597
2016-02-03,6521.48,6604.29,6604.29,6521.2,150470.0,-1.82%,0.013745413337830966,0.0036548725531790806,82.36156443300281,0.12964576938827602,0.07185731097188161,55.74000000000524,129071.2,0.05470658646366247,-0.7983304200046732,0.02160996540512955
2016-02-04,6652.83,6553.63,6652.83,6553.63,182010.0,2.01%,0.031833877834535916,0.01927292385237791,79.88272371116115,0.21483725205212076,0.09344573228056569,140.04604301853837,128778.78,-0.12899912080258116,-0.7150184612667809,0.021191394175385476
2016-02-05,6765.13,6664.18,6769.08,6664.18,218650.0,1.69%,0.04427619521624632,0.02979809386524372,84.5132876048679,0.2853799176139699,0.11190313397805499,115.9510099690639,128812.73,-0.26714436162953875,-0.7551809749032352,0.02142891956962615
2016-02-09,6637.43,6723.2,6723.2,6637.43,111610.0,-1.89%,0.02140662228012257,0.007106636996479852,89.10689363623186,0.3141070323461575,0.0909146193140356,192.4100000000035,129002.43,0.0710573240456476,-1.238218832740591,0.01927852918858374
2016-02-10,6637.48,6609.79,6637.48,6550.12,83880.0,0.00%,0.017189431181139615,0.0042868868308881545,86.99376947040498,0.36841906127396074,0.09092283721327747,63.81005570829167,129351.59999999999,0.12424703080805732,-1.2269253847272428,0.019266554501278368
2016-02-11,6663.43,6633.28,6674.7,6610.89,111770.0,0.39%,0.014733251868686995,0.005411814814926654,81.79240385258582,0.3528613693158868,0.08948112783368634,190.98483468891237,129658.53,0.2155407321870975,-1.0144385406599346,0.018479009726653138
