Date,Close,Open,High,Low,Volume,Change %
2016-01-04,6833.42,6954.27,6957.24,6833.42,51490.0,-1.71%
2016-01-05,6835.13,6823.92,6863.75,6785.72,86200.0,0.03%
2016-01-06,6813.9,6846.99,6870.56,6813.9,94120.0,-0.31%
2016-01-07,6618.88,6823.37,6823.37,6618.88,136630.0,-2.86%
2016-01-08,6575.43,6588.08,6651.0,6555.45,137450.0,-0.66%
2016-01-11,6288.26,6523.28,6523.28,6288.26,193640.0,-4.37%
2016-01-12,6330.55,6322.87,6433.75,6322.87,119010.0,0.67%
2016-01-13,6494.13,6371.94,6506.91,6371.94,195310.0,2.58%
2016-01-14,6408.76,6395.87,6433.7,6346.0,134470.0,-1.31%
2016-01-15,6449.5,6462.07,6510.4,6449.5,109580.0,0.64%
2016-01-18,6335.09,6327.7,6348.37,6276.1,183620.0,-1.77%
2016-01-19,6357.05,6348.03,6376.25,6311.66,112460.0,0.35%
2016-01-20,6259.61,6348.62,6374.5,6253.88,218440.0,-1.53%
2016-01-21,6084.28,6212.41,6213.88,6084.28,234020.0,-2.80%
2016-01-22,6208.05,6116.32,6208.05,6116.15,291970.0,2.03%
2016-01-25,6434.08,6299.6,6434.08,6287.25,209650.0,3.64%
2016-01-26,6311.6,6317.24,6362.67,6258.88,158160.0,-1.90%
2016-01-27,6507.22,6344.06,6507.22,6344.06,215470.0,3.10%
2016-01-28,6563.38,6495.57,6564.66,6447.61,250420.0,0.86%
2016-01-29,6687.62,6590.07,6687.62,6589.29,247450.0,1.89%
2016-02-01,6701.36,6705.52,6736.87,6650.97,185650.0,0.21%
2016-02-02,6642.45,6619.68,6653.12,6619.68,141970.0,-0.88%
2016-02-03,6521.48,6604.29,6604.29,6521.2,150470.0,-1.82%
2016-02-04,6652.83,6553.63,6652.83,6553.63,182010.0,2.01%
2016-02-05,6765.13,6664.18,6769.08,6664.18,218650.0,1.69%
2016-02-09,6637.43,6723.2,6723.2,6637.43,111610.0,-1.89%
2016-02-10,6637.48,6609.79,6637.48,6550.12,83880.0,0.00%
2016-02-11,6663.43,6633.28,6674.7,6610.89,111770.0,0.39%
2016-02-12,6654.45,6623.96,6677.48,6607.46,147750.0,-0.13%
2016-02-15,6692.58,6684.54,6711.74,6680.62,158350.0,0.57%
2016-02-16,6743.95,6718.05,6777.43,6718.05,240580.0,0.77%
2016-02-17,6756.82,6776.63,6779.3,6727.93,127790.0,0.19%
2016-02-18,6848.87,6781.47,6848.87,6778.93,196790.0,1.36%
2016-02-19,6792.06,6844.96,6844.96,6789.1,184280.0,-0.83%
2016-02-22,6783.08,6792.54,6799.32,6773.83,104910.0,-0.13%
2016-02-23,6819.34,6795.73,6829.12,6795.73,130139.99999999999,0.53%
2016-02-24,6769.26,6812.41,6812.41,6713.81,102790.0,-0.73%
2016-02-26,6771.3,6731.4,6773.03,6728.65,119620.0,0.03%
2016-02-29,6671.04,6777.05,6818.04,6671.04,131970.0,-1.48%
2016-03-01,6729.53,6670.75,6731.33,6661.68,115250.0,0.88%
2016-03-02,6882.45,6781.43,6882.45,6781.43,244770.0,2.27%
2016-03-03,6963.44,6886.28,6988.68,6883.94,314810.0,1.18%
2016-03-04,6899.07,6973.9,6987.22,6899.07,130220.0,-0.92%
2016-03-07,6892.69,6949.2,6955.91,6871.83,117550.0,-0.09%
2016-03-08,6915.51,6897.25,6915.51,6840.05,96370.0,0.33%
2016-03-09,6948.18,6914.33,6951.04,6889.63,174860.0,0.47%
2016-03-10,7048.08,6938.11,7052.25,6936.54,142970.0,1.44%
2016-03-11,7098.64,7002.06,7119.86,7002.06,173360.0,0.72%
2016-03-14,7112.89,7161.09,7204.61,7112.89,137570.0,0.20%
2016-03-15,7148.26,7140.65,7207.93,7140.23,145030.0,0.50%
2016-03-16,7065.39,7146.76,7156.28,7065.39,131220.0,-1.16%
2016-03-17,7210.9,7114.31,7210.9,7110.27,122710.0,2.06%
2016-03-18,7306.74,7229.73,7318.49,7227.14,188060.0,1.33%
2016-03-21,7376.41,7346.76,7412.33,7346.76,166100.0,0.95%
2016-03-22,7342.03,7372.66,7383.3,7295.67,161420.0,-0.47%
2016-03-23,7360.05,7307.48,7360.05,7262.69,108720.0,0.25%
2016-03-28,7334.52,7355.59,7359.23,7303.73,80780.0,-0.35%
2016-03-29,7274.4,7323.93,7339.08,7264.69,110960.0,-0.82%
2016-03-30,7299.23,7299.44,7362.6,7293.63,198830.0,0.34%
2016-03-31,7262.3,7329.63,7357.96,7229.0,144590.0,-0.51%
2016-04-01,7245.13,7273.88,7285.63,7205.62,84460.0,-0.24%
2016-04-04,7254.53,7245.7,7302.62,7235.9,76580.0,0.13%
